x,y,u,v,S
10.350000,6.216886,0.989666,0.001054,8.196934
10.350000,6.522527,0.989669,0.001990,8.089647
10.350000,6.838806,0.989688,0.002890,7.977969
10.185714,6.997459,0.973936,0.003548,7.881246
10.350000,7.389840,0.989495,0.004138,7.780704
10.350000,7.734924,0.989144,0.004313,7.655408
10.185714,7.903108,0.973089,0.004218,7.547981
10.350000,8.334340,0.988510,0.004420,7.438926
10.185714,8.507986,0.972634,0.004681,7.328785
10.185714,8.758335,0.972474,0.004864,7.239299
10.350000,9.224693,0.987915,0.004834,7.125710
10.185714,9.405194,0.971880,0.004259,7.010238
10.185714,9.672314,0.971552,0.003735,6.916769
10.185714,9.944204,0.971304,0.003355,6.823378
10.185714,10.220846,0.971067,0.002953,6.729703
10.185714,10.502223,0.970801,0.002428,6.635577
10.350000,11.035985,0.986178,0.002186,6.518067
10.185714,11.226221,0.970433,0.002405,6.401969
10.185714,11.523968,0.970389,0.002596,6.309360
10.185714,11.826322,0.970289,0.002641,6.216626
9.722727,11.507949,0.926054,0.002458,6.146942
10.185714,12.288407,0.969952,0.002375,6.077026
10.185714,12.602106,0.969696,0.002092,5.984401
10.185714,12.920267,0.969477,0.001562,5.892621
10.185714,13.242839,0.969261,0.001107,5.801557
10.185714,13.569772,0.968928,0.000979,5.710580
10.185714,13.901008,0.968502,0.000916,5.619947
9.722727,13.508817,0.924185,0.000632,5.552694
10.185714,14.405804,0.967966,0.000446,5.486398
10.185714,14.747537,0.967758,0.000301,5.399493
9.722727,14.324284,0.923655,0.000244,5.335247
10.185714,15.267770,0.967547,0.000499,5.271711
10.185714,15.619579,0.967426,0.000767,5.188035
10.185714,15.975289,0.967276,0.000654,5.105381
9.722727,15.506082,0.923199,0.000625,5.044200
10.185714,16.515996,0.967071,0.000704,4.983801
9.722727,16.026219,0.923059,0.000593,4.924323
10.185714,17.065024,0.966982,0.000591,4.865640
10.185714,17.435518,0.966940,0.000858,4.788561
9.722727,16.910315,0.922962,0.001020,4.731646
10.185714,17.997746,0.966882,0.000930,4.675419
9.722727,17.450608,0.922879,0.000545,4.619853
10.185714,18.567468,0.966715,0.000496,4.564754
10.055707,-17.273124,0.913821,0.000148,4.572088
10.584955,-17.898722,0.962156,-0.000137,4.627006
10.055707,-16.736033,0.914318,-0.000248,4.682888
10.584955,-17.337161,0.962736,-0.000096,4.739503
10.584955,-16.967121,0.963083,0.000206,4.815870
10.055707,-15.857232,0.915138,0.000294,4.873762
10.584955,-16.418805,0.963472,0.000416,4.932015
10.055707,-15.340267,0.915448,0.000645,4.990906
10.584955,-15.878859,0.963838,0.000934,5.050641
10.584955,-15.523689,0.964200,0.000568,5.131728
10.055707,-14.496776,0.916273,-0.000217,5.193424
10.584955,-14.998332,0.964755,-0.000863,5.255426
10.584955,-14.653139,0.965003,-0.001280,5.338478
10.584955,-14.312067,0.965184,-0.001676,5.422079
